Clapeyron Database File,,,,,
Critical Single Parameters,,,,,
species,DIPPR Number,Tc,Pc,Vc,acentricfactor
diisopropyl ether, ,5.00050E+02,2.88000E+06,3.86000E-04,3.38683E-01
toluene, ,5.91750E+02,4.10800E+06,3.16000E-04,2.64012E-01
hexane, ,5.07600E+02,3.02500E+06,3.71000E-04,3.01261E-01
heptane, ,5.40200E+02,2.74000E+06,4.28000E-04,3.49469E-01
acetic acid, ,5.91950E+02,5.78600E+06,1.79700E-04,4.66521E-01
octanoic acid, ,6.94260E+02,2.77900E+06,4.99000E-04,7.70625E-01
lauric acid, ,7.43000E+02,1.94000E+06,7.05000E-04,8.79987E-01
peracetic acid, ,5.52000E+02,6.40000E+06,1.98000E-04,7.52294E-01
peroctanoic acid, ,631.54436074476,2639601.95207736,0.00052495,0.906135886637798
perlauric acid, ,835.2377943756245,1935535.4436218203,0.0008645,1.171984800698731
water, ,6.47130E+02,2.20550E+07,5.59478E-05,3.44861E-01
hydrogen peroxide, ,7.30150E+02,2.17000E+07,7.77000E-05,3.58233E-01
limonene, ,6.53000E+02,2.82000E+06,4.70000E-04,3.80863E-01