Clapeyron Database File,,
Molar Mases Single Params,,
species,DIPPR Number,Mw
diisopropyl ether, ,1.02175E+02
toluene, ,9.21384E+01
hexane, ,8.61754E+01
heptane, ,1.00202E+02
acetic acid, ,6.00520E+01
octanoic acid, ,1.44211E+02
lauric acid, ,2.00318E+02
peracetic acid, ,7.60514E+01
peroctanoic acid, ,160.21
perlauric acid, ,216.317
water, ,1.80153E+01
hydrogen peroxide, ,3.40147E+01
limonene, ,1.36234E+02
ethanol, ,46.07
propanol, ,60.09
glycerol, ,92.09
ethyl acetate, ,88.11
isoamyl alcohol, ,88.148